coin,series_ticker,market_ticker,close_time,result,window_label,window_seconds,cutoff_time,observed_ts,yes_price,favorite_side,favorite_price,winning_side,won,pnl_per_contract,ev_per_dollar_risked,tradeable,dried_up_by_window,favorite_price_cents,threshold_bucket_cents
SOL,KXSOL15M,KXSOL15M-26APR061945-45,2026-04-06 23:45:00+00:00,yes,T-5m,300,2026-04-06 23:40:00+00:00,2026-04-06 23:40:00+00:00,0.89,yes,0.89,True,True,0.10229999999999997,0.11494382022471906,True,False,89.0,88.0
SOL,KXSOL15M,KXSOL15M-26APR061945-45,2026-04-06 23:45:00+00:00,yes,T-4m,240,2026-04-06 23:41:00+00:00,2026-04-06 23:41:00+00:00,0.98,yes,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061945-45,2026-04-06 23:45:00+00:00,yes,T-3m,180,2026-04-06 23:42:00+00:00,2026-04-06 23:42:00+00:00,0.98,yes,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061945-45,2026-04-06 23:45:00+00:00,yes,T-2m,120,2026-04-06 23:43:00+00:00,2026-04-06 23:42:00+00:00,0.98,yes,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061945-45,2026-04-06 23:45:00+00:00,yes,T-90s,90,2026-04-06 23:43:30+00:00,2026-04-06 23:42:00+00:00,0.98,yes,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061945-45,2026-04-06 23:45:00+00:00,yes,T-60s,60,2026-04-06 23:44:00+00:00,2026-04-06 23:42:00+00:00,0.98,yes,0.98,True,True,0.018600000000000016,0.01897959183673471,True,False,98.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061930-30,2026-04-06 23:30:00+00:00,no,T-5m,300,2026-04-06 23:25:00+00:00,2026-04-06 23:25:00+00:00,0.23,no,0.77,True,True,0.21389999999999998,0.27779220779220776,True,False,77.0,
SOL,KXSOL15M,KXSOL15M-26APR061930-30,2026-04-06 23:30:00+00:00,no,T-4m,240,2026-04-06 23:26:00+00:00,2026-04-06 23:26:00+00:00,0.17,no,0.83,True,True,0.15810000000000002,0.1904819277108434,True,False,83.0,
SOL,KXSOL15M,KXSOL15M-26APR061930-30,2026-04-06 23:30:00+00:00,no,T-3m,180,2026-04-06 23:27:00+00:00,2026-04-06 23:27:00+00:00,0.08,no,0.92,True,True,0.07439999999999995,0.08086956521739125,True,False,92.0,92.0
SOL,KXSOL15M,KXSOL15M-26APR061930-30,2026-04-06 23:30:00+00:00,no,T-2m,120,2026-04-06 23:28:00+00:00,2026-04-06 23:28:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061930-30,2026-04-06 23:30:00+00:00,no,T-90s,90,2026-04-06 23:28:30+00:00,2026-04-06 23:28:00+00:00,0.01,no,0.99,True,True,0.009300000000000008,0.009393939393939402,False,True,99.0,98.0
SOL,KXSOL15M,KXSOL15M-26APR061930-30,2026-04-06 23:30:00+00:00,no,T-60s,60,2026-04-06 23:29:00+00:00,2026-04-06 23:29:00+00:00,0.001,no,0.999,True,True,0.0009300000000000008,0.0009309309309309318,False,True,99.9,98.0
SOL,KXSOL15M,KXSOL15M-26APR061915-15,2026-04-06 23:15:00+00:00,no,T-5m,300,2026-04-06 23:10:00+00:00,2026-04-06 23:10:00+00:00,0.05,no,0.95,True,True,0.04650000000000004,0.04894736842105268,True,False,95.0,94.0
SOL,KXSOL15M,KXSOL15M-26APR061915-15,2026-04-06 23:15:00+00:00,no,T-4m,240,2026-04-06 23:11:00+00:00,2026-04-06 23:11:00+00:00,0.036,no,0.964,True,True,0.03348000000000003,0.03473029045643157,True,False,96.39999999999999,96.0
